time,Field_Vector_0,Field_Vector_1,Field_Vector_2,Field_Magnitude
2026-08-25 04:00:00+00:00,20500.73,2798.34,46646.95,51029.96
2026-08-25 04:01:00+00:00,20500.66,2798.4,46646.96,51029.92
2026-08-25 04:02:00+00:00,20500.36,2798.32,46647.0,51029.82
2026-08-25 04:03:00+00:00,20500.18,2798.16,46647.02,51029.77
2026-08-25 04:04:00+00:00,20500.22,2798.02,46646.95,51029.72
2026-08-25 04:05:00+00:00,20500.46,2798.16,46646.86,51029.74
2026-08-25 04:06:00+00:00,20500.53,2798.35,46646.83,51029.76
2026-08-25 04:07:00+00:00,20500.48,2798.51,46646.84,51029.77
2026-08-25 04:08:00+00:00,20500.48,2798.56,46646.84,51029.8
2026-08-25 04:09:00+00:00,20500.51,2798.7,46646.79,51029.8
2026-08-25 04:10:00+00:00,20500.5,2798.9,46646.78,51029.81
2026-08-25 04:11:00+00:00,20500.53,2799.04,46646.84,51029.85
2026-08-25 04:12:00+00:00,20500.65,2799.1,46646.86,51029.91
2026-08-25 04:13:00+00:00,20500.66,2799.09,46646.89,51029.94
2026-08-25 04:14:00+00:00,20500.68,2799.12,46646.92,51029.96
2026-08-25 04:15:00+00:00,20500.73,2799.1,46646.94,51029.98
2026-08-25 04:16:00+00:00,20500.85,2799.1,46646.93,51030.02
2026-08-25 04:17:00+00:00,20500.91,2799.15,46646.9,51030.04
2026-08-25 04:18:00+00:00,20500.99,2799.27,46646.92,51030.06
2026-08-25 04:19:00+00:00,20501.11,2799.37,46646.91,51030.1
2026-08-25 04:20:00+00:00,20501.26,2799.49,46646.88,51030.16
2026-08-25 04:21:00+00:00,20501.34,2799.51,46646.93,51030.23
2026-08-25 04:22:00+00:00,20501.53,2799.54,46646.87,51030.3
2026-08-25 04:23:00+00:00,20501.65,2799.54,46646.86,51030.36
2026-08-25 04:24:00+00:00,20501.71,2799.51,46646.87,51030.39
2026-08-25 04:25:00+00:00,20501.75,2799.52,46646.93,51030.4
2026-08-25 04:26:00+00:00,20501.8,2799.52,46646.87,51030.41
2026-08-25 04:27:00+00:00,20501.87,2799.53,46646.86,51030.43
2026-08-25 04:28:00+00:00,20502.0,2799.51,46646.89,51030.48
2026-08-25 04:29:00+00:00,20502.15,2799.51,46646.89,51030.54
2026-08-25 04:30:00+00:00,20502.44,2799.53,46646.85,51030.63
2026-08-25 04:31:00+00:00,20502.64,2799.51,46646.86,51030.73
2026-08-25 04:32:00+00:00,20502.71,2799.53,46646.83,51030.74
2026-08-25 04:33:00+00:00,20502.83,2799.59,46646.84,51030.78
2026-08-25 04:34:00+00:00,20502.9,2799.64,46646.91,51030.83
2026-08-25 04:35:00+00:00,20502.96,2799.74,46646.89,51030.85
2026-08-25 04:36:00+00:00,20503.03,2799.79,46646.91,51030.89
2026-08-25 04:37:00+00:00,20503.14,2799.84,46646.94,51030.95
2026-08-25 04:38:00+00:00,20503.29,2799.84,46646.97,51031.02
2026-08-25 04:39:00+00:00,20503.4,2799.78,46647.0,51031.08
2026-08-25 04:40:00+00:00,20503.54,2799.72,46646.97,51031.11
2026-08-25 04:41:00+00:00,20503.51,2799.72,46646.96,51031.11
2026-08-25 04:42:00+00:00,20503.47,2799.75,46646.96,51031.07
2026-08-25 04:43:00+00:00,20503.17,2799.62,46647.04,51031.03
2026-08-25 04:44:00+00:00,20503.05,2799.29,46647.08,51030.97
2026-08-25 04:45:00+00:00,20503.08,2799.25,46646.95,51030.9
2026-08-25 04:46:00+00:00,20503.15,2799.29,46646.89,51030.9
2026-08-25 04:47:00+00:00,20503.29,2799.25,46646.94,51030.95
2026-08-25 04:48:00+00:00,20503.44,2799.13,46646.92,51031.0
2026-08-25 04:49:00+00:00,20503.59,2799.13,46646.91,51031.03
2026-08-25 04:50:00+00:00,20503.69,2799.27,46646.88,51031.06
2026-08-25 04:51:00+00:00,20503.79,2799.45,46646.82,51031.11
2026-08-25 04:52:00+00:00,20503.84,2799.54,46646.85,51031.15
2026-08-25 04:53:00+00:00,20503.73,2799.48,46646.86,51031.14
2026-08-25 04:54:00+00:00,20503.47,2799.59,46646.93,51031.04
2026-08-25 04:55:00+00:00,20503.16,2799.59,46646.89,51030.93
2026-08-25 04:56:00+00:00,20502.85,2799.69,46646.89,51030.8
2026-08-25 04:57:00+00:00,20502.64,2799.77,46646.85,51030.72
2026-08-25 04:58:00+00:00,20502.53,2799.76,46646.91,51030.72
2026-08-25 04:59:00+00:00,20502.58,2799.67,46646.91,51030.71
