convention,gbar_m_s2,sis_gobs_m_s2,sis_gobs_std_diagonal,cross_gobs_m_s2,cross_gobs_std_diagonal,mistele2024_gobs_m_s2,effective_lenses
east_ccw_catalog_e2_as_math,1.3803842646028866e-15,-1.136124566244184e-12,1.2167780735343415e-12,1.6435312856713213e-12,1.2167780735343415e-12,1.4125375446227554e-13,21528
east_ccw_catalog_e2_as_math,2.4547089156850336e-15,-8.551893995797408e-13,1.576093262608259e-12,1.0082409150779547e-12,1.576093262608259e-12,3.630780547701018e-13,16843
east_ccw_catalog_e2_as_math,4.2657951880159345e-15,9.459284237346352e-14,2.007736445252142e-12,1.3435051763198158e-12,2.007736445252142e-12,5.370317963702532e-13,13152
east_ccw_catalog_e2_as_math,7.585775750291851e-15,-1.9469598632866895e-12,2.5888839707922688e-12,1.997255516141147e-12,2.5888839707922688e-12,8.317637711026708e-13,10113
east_ccw_catalog_e2_as_math,1.3489628825916561e-14,-5.786533444989352e-13,3.3763730194483174e-12,2.540159303846608e-13,3.3763730194483174e-12,1.1748975549395304e-12,7593
east_ccw_catalog_e2_as_math,2.344228815319918e-14,4.5247645505723815e-12,4.4018230888168635e-12,4.652642441133778e-12,4.4018230888168635e-12,1.7378008287493763e-12,5652
east_ccw_catalog_e2_as_math,4.168693834703347e-14,2.621848530319731e-13,5.607506968565773e-12,1.1787330691697818e-11,5.607506968565773e-12,2.5703957827688646e-12,4129
east_ccw_catalog_e2_as_math,7.413102413009162e-14,1.3363079917620455e-11,7.2709250262412495e-12,1.2504939987524597e-11,7.2709250262412495e-12,3.3884415613920204e-12,2940
east_ccw_catalog_e2_as_math,1.2882495516931323e-13,1.2035743683630866e-11,9.330449998912217e-12,-3.0598196223697752e-12,9.330449998912217e-12,5.128613839913659e-12,2093
east_ccw_catalog_e2_as_math,2.29086765276777e-13,-3.2455931267054815e-12,1.191683001011407e-11,-1.0366487720735748e-11,1.191683001011407e-11,6.16595001861481e-12,1485
east_ccw_catalog_e2_as_math,4.073802778041122e-13,8.735535129681719e-13,1.528485226322251e-11,1.3263687314339123e-11,1.528485226322251e-11,7.762471166286927e-12,1075
east_ccw_catalog_e2_as_math,7.079457843841374e-13,-5.247222022295811e-12,1.9495823742106233e-11,9.36417838530084e-12,1.9495823742106233e-11,1e-11,746
east_ccw_catalog_e2_as_math,1.258925411794166e-12,1.0158626205976875e-11,2.4801731413023786e-11,-1.1446503313687533e-11,2.4801731413023786e-11,1.3182567385564048e-11,509
east_ccw_catalog_e2_as_math,2.238721138568338e-12,1.092844270211178e-11,3.213154702156253e-11,-1.4691825213796135e-11,3.213154702156253e-11,1.659586907437563e-11,329
east_ccw_catalog_e2_as_math,3.8904514499428045e-12,2.30674312445732e-11,4.247559916361496e-11,1.6233441266547883e-11,4.247559916361496e-11,2.2387211385683377e-11,204
east_ccw_catalog_e2_sign_flipped,1.3803842646028866e-15,2.7907643962694376e-13,1.2167780735343415e-12,-8.819372599206318e-13,1.2167780735343415e-12,1.4125375446227554e-13,21528
east_ccw_catalog_e2_sign_flipped,2.4547089156850336e-15,2.6516028267265713e-12,1.576093262608259e-12,-1.8708023759608243e-13,1.576093262608259e-12,3.630780547701018e-13,16843
east_ccw_catalog_e2_sign_flipped,4.2657951880159345e-15,2.0626913757605538e-12,2.007736445252142e-12,1.0571513550855534e-12,2.007736445252142e-12,5.370317963702532e-13,13152
east_ccw_catalog_e2_sign_flipped,7.585775750291851e-15,2.7624807489217703e-12,2.5888839707922688e-12,-3.020776063489402e-14,2.5888839707922688e-12,8.317637711026708e-13,10113
east_ccw_catalog_e2_sign_flipped,1.3489628825916561e-14,3.8575184943479216e-12,3.3763730194483174e-12,-1.287000163798927e-13,3.3763730194483174e-12,1.1748975549395304e-12,7593
east_ccw_catalog_e2_sign_flipped,2.344228815319918e-14,1.039267590507436e-11,4.4018230888168635e-12,1.626190564137301e-12,4.4018230888168635e-12,1.7378008287493763e-12,5652
east_ccw_catalog_e2_sign_flipped,4.168693834703347e-14,4.0591221578298144e-12,5.607506968565773e-12,-4.0228146071110315e-12,5.607506968565773e-12,2.5703957827688646e-12,4129
east_ccw_catalog_e2_sign_flipped,7.413102413009162e-14,1.4695732571636782e-11,7.2709250262412495e-12,6.640323123986763e-13,7.2709250262412495e-12,3.3884415613920204e-12,2940
east_ccw_catalog_e2_sign_flipped,1.2882495516931323e-13,1.2368694394741013e-11,9.330449998912217e-12,1.0585448769677123e-11,9.330449998912217e-12,5.128613839913659e-12,2093
east_ccw_catalog_e2_sign_flipped,2.29086765276777e-13,-3.178420394331993e-12,1.191683001011407e-11,5.133981579739516e-12,1.191683001011407e-11,6.16595001861481e-12,1485
east_ccw_catalog_e2_sign_flipped,4.073802778041122e-13,1.964377674068791e-11,1.528485226322251e-11,1.406592816802679e-13,1.528485226322251e-11,7.762471166286927e-12,1075
east_ccw_catalog_e2_sign_flipped,7.079457843841374e-13,-1.0445774706136855e-11,1.9495823742106233e-11,5.87787657381924e-12,1.9495823742106233e-11,1e-11,746
east_ccw_catalog_e2_sign_flipped,1.258925411794166e-12,-9.991933886678747e-13,2.4801731413023786e-11,5.0014709769496524e-12,2.4801731413023786e-11,1.3182567385564048e-11,509
east_ccw_catalog_e2_sign_flipped,2.238721138568338e-12,6.528904304112558e-12,3.213154702156253e-11,1.3442500429027593e-11,3.213154702156253e-11,1.659586907437563e-11,329
east_ccw_catalog_e2_sign_flipped,3.8904514499428045e-12,-1.2193306341204722e-11,4.247559916361496e-11,1.6700515875866516e-11,4.247559916361496e-11,2.2387211385683377e-11,204
north_ccw_catalog_e2_as_math,1.3803842646028866e-15,-2.7907643962694376e-13,1.2167780735343415e-12,-8.819372599206318e-13,1.2167780735343415e-12,1.4125375446227554e-13,21528
north_ccw_catalog_e2_as_math,2.4547089156850336e-15,-2.6516028267265713e-12,1.576093262608259e-12,-1.8708023759608243e-13,1.576093262608259e-12,3.630780547701018e-13,16843
north_ccw_catalog_e2_as_math,4.2657951880159345e-15,-2.0626913757605538e-12,2.007736445252142e-12,1.0571513550855534e-12,2.007736445252142e-12,5.370317963702532e-13,13152
north_ccw_catalog_e2_as_math,7.585775750291851e-15,-2.7624807489217703e-12,2.5888839707922688e-12,-3.020776063489402e-14,2.5888839707922688e-12,8.317637711026708e-13,10113
north_ccw_catalog_e2_as_math,1.3489628825916561e-14,-3.8575184943479216e-12,3.3763730194483174e-12,-1.287000163798927e-13,3.3763730194483174e-12,1.1748975549395304e-12,7593
north_ccw_catalog_e2_as_math,2.344228815319918e-14,-1.039267590507436e-11,4.4018230888168635e-12,1.626190564137301e-12,4.4018230888168635e-12,1.7378008287493763e-12,5652
north_ccw_catalog_e2_as_math,4.168693834703347e-14,-4.0591221578298144e-12,5.607506968565773e-12,-4.0228146071110315e-12,5.607506968565773e-12,2.5703957827688646e-12,4129
north_ccw_catalog_e2_as_math,7.413102413009162e-14,-1.4695732571636782e-11,7.2709250262412495e-12,6.640323123986763e-13,7.2709250262412495e-12,3.3884415613920204e-12,2940
north_ccw_catalog_e2_as_math,1.2882495516931323e-13,-1.2368694394741013e-11,9.330449998912217e-12,1.0585448769677123e-11,9.330449998912217e-12,5.128613839913659e-12,2093
north_ccw_catalog_e2_as_math,2.29086765276777e-13,3.178420394331993e-12,1.191683001011407e-11,5.133981579739516e-12,1.191683001011407e-11,6.16595001861481e-12,1485
north_ccw_catalog_e2_as_math,4.073802778041122e-13,-1.964377674068791e-11,1.528485226322251e-11,1.406592816802679e-13,1.528485226322251e-11,7.762471166286927e-12,1075
north_ccw_catalog_e2_as_math,7.079457843841374e-13,1.0445774706136855e-11,1.9495823742106233e-11,5.87787657381924e-12,1.9495823742106233e-11,1e-11,746
north_ccw_catalog_e2_as_math,1.258925411794166e-12,9.991933886678747e-13,2.4801731413023786e-11,5.0014709769496524e-12,2.4801731413023786e-11,1.3182567385564048e-11,509
north_ccw_catalog_e2_as_math,2.238721138568338e-12,-6.528904304112558e-12,3.213154702156253e-11,1.3442500429027593e-11,3.213154702156253e-11,1.659586907437563e-11,329
north_ccw_catalog_e2_as_math,3.8904514499428045e-12,1.2193306341204722e-11,4.247559916361496e-11,1.6700515875866516e-11,4.247559916361496e-11,2.2387211385683377e-11,204
north_ccw_catalog_e2_sign_flipped,1.3803842646028866e-15,1.136124566244184e-12,1.2167780735343415e-12,1.6435312856713213e-12,1.2167780735343415e-12,1.4125375446227554e-13,21528
north_ccw_catalog_e2_sign_flipped,2.4547089156850336e-15,8.551893995797408e-13,1.576093262608259e-12,1.0082409150779547e-12,1.576093262608259e-12,3.630780547701018e-13,16843
north_ccw_catalog_e2_sign_flipped,4.2657951880159345e-15,-9.459284237346352e-14,2.007736445252142e-12,1.3435051763198158e-12,2.007736445252142e-12,5.370317963702532e-13,13152
north_ccw_catalog_e2_sign_flipped,7.585775750291851e-15,1.9469598632866895e-12,2.5888839707922688e-12,1.997255516141147e-12,2.5888839707922688e-12,8.317637711026708e-13,10113
north_ccw_catalog_e2_sign_flipped,1.3489628825916561e-14,5.786533444989352e-13,3.3763730194483174e-12,2.540159303846608e-13,3.3763730194483174e-12,1.1748975549395304e-12,7593
north_ccw_catalog_e2_sign_flipped,2.344228815319918e-14,-4.5247645505723815e-12,4.4018230888168635e-12,4.652642441133778e-12,4.4018230888168635e-12,1.7378008287493763e-12,5652
north_ccw_catalog_e2_sign_flipped,4.168693834703347e-14,-2.621848530319731e-13,5.607506968565773e-12,1.1787330691697818e-11,5.607506968565773e-12,2.5703957827688646e-12,4129
north_ccw_catalog_e2_sign_flipped,7.413102413009162e-14,-1.3363079917620455e-11,7.2709250262412495e-12,1.2504939987524597e-11,7.2709250262412495e-12,3.3884415613920204e-12,2940
north_ccw_catalog_e2_sign_flipped,1.2882495516931323e-13,-1.2035743683630866e-11,9.330449998912217e-12,-3.0598196223697752e-12,9.330449998912217e-12,5.128613839913659e-12,2093
north_ccw_catalog_e2_sign_flipped,2.29086765276777e-13,3.2455931267054815e-12,1.191683001011407e-11,-1.0366487720735748e-11,1.191683001011407e-11,6.16595001861481e-12,1485
north_ccw_catalog_e2_sign_flipped,4.073802778041122e-13,-8.735535129681719e-13,1.528485226322251e-11,1.3263687314339123e-11,1.528485226322251e-11,7.762471166286927e-12,1075
north_ccw_catalog_e2_sign_flipped,7.079457843841374e-13,5.247222022295811e-12,1.9495823742106233e-11,9.36417838530084e-12,1.9495823742106233e-11,1e-11,746
north_ccw_catalog_e2_sign_flipped,1.258925411794166e-12,-1.0158626205976875e-11,2.4801731413023786e-11,-1.1446503313687533e-11,2.4801731413023786e-11,1.3182567385564048e-11,509
north_ccw_catalog_e2_sign_flipped,2.238721138568338e-12,-1.092844270211178e-11,3.213154702156253e-11,-1.4691825213796135e-11,3.213154702156253e-11,1.659586907437563e-11,329
north_ccw_catalog_e2_sign_flipped,3.8904514499428045e-12,-2.30674312445732e-11,4.247559916361496e-11,1.6233441266547883e-11,4.247559916361496e-11,2.2387211385683377e-11,204
