partition,gbar_m_s2,raw_sis_gobs_m_s2,mistele2024_gobs_m_s2
kids-pairs-v017-00,1.3803842646028866e-15,-1.0707314814364721e-13,1.4125375446227554e-13
kids-pairs-v017-00,2.4547089156850336e-15,-1.6292231283910305e-13,3.630780547701018e-13
kids-pairs-v017-00,4.2657951880159345e-15,-2.9694428356673185e-13,5.370317963702532e-13
kids-pairs-v017-00,7.585775750291851e-15,-5.337508012187331e-13,8.317637711026708e-13
kids-pairs-v017-00,1.3489628825916561e-14,-7.507488765674161e-14,1.1748975549395304e-12
kids-pairs-v017-00,2.344228815319918e-14,8.603873328730828e-13,1.7378008287493763e-12
kids-pairs-v017-00,4.168693834703347e-14,-1.6435210417576644e-13,2.5703957827688646e-12
kids-pairs-v017-00,7.413102413009162e-14,-9.85150103108004e-13,3.3884415613920204e-12
kids-pairs-v017-00,1.2882495516931323e-13,-6.502295078544026e-13,5.128613839913659e-12
kids-pairs-v017-00,2.29086765276777e-13,7.032566327416465e-13,6.16595001861481e-12
kids-pairs-v017-00,4.073802778041122e-13,7.860211900934894e-13,7.762471166286927e-12
kids-pairs-v017-00,7.079457843841374e-13,-1.0691386026082277e-12,1e-11
kids-pairs-v017-00,1.258925411794166e-12,2.6380890933505738e-12,1.3182567385564048e-11
kids-pairs-v017-00,2.238721138568338e-12,-7.219458703130348e-12,1.659586907437563e-11
kids-pairs-v017-00,3.8904514499428045e-12,-7.953416746452386e-12,2.2387211385683377e-11
kids-pairs-v017-01,1.3803842646028866e-15,-2.653941787517653e-13,1.4125375446227554e-13
kids-pairs-v017-01,2.4547089156850336e-15,-2.1616316955984102e-13,3.630780547701018e-13
kids-pairs-v017-01,4.2657951880159345e-15,-1.4572302113715597e-14,5.370317963702532e-13
kids-pairs-v017-01,7.585775750291851e-15,2.3623319575369097e-13,8.317637711026708e-13
kids-pairs-v017-01,1.3489628825916561e-14,3.4140478744812903e-13,1.1748975549395304e-12
kids-pairs-v017-01,2.344228815319918e-14,4.854129508731012e-13,1.7378008287493763e-12
kids-pairs-v017-01,4.168693834703347e-14,5.97160483233686e-13,2.5703957827688646e-12
