radius_mpc_h70,random_esd_msun_mpc2,random_cross_esd_msun_mpc2,random_esd_std,random_gobs_m_s2,random_cross_gobs_m_s2,random_gobs_std,random_cross_gobs_std,esd_effective_randoms,gobs_effective_randoms,cross_gobs_effective_randoms,pair_count
0.003497725764321151,-4459170513763.392,-71481118748436.23,262703255735418.56,9.653315903903174e-11,1.26152647325619e-10,1.686924010443045e-10,1.686924010443045e-10,22,22,22,22
0.004754608459399198,22253474379091.83,-8638130384844.6,161119397760013.2,7.557154712590149e-11,2.953263578413501e-11,8.514416766375053e-11,8.514416766375053e-11,64,86,86,65
0.0064631429464219,-164113095717033.9,-26592881358952.39,140936061263371.25,1.5323555070373772e-11,-2.5971652402714137e-11,6.153923382277156e-11,6.153923382277156e-11,78,161,161,78
0.008785627061110645,215992493520017.28,-1723022228082.1255,96995345904464.19,7.358144609898709e-11,-4.271233739686753e-11,4.294456807579119e-11,4.294456807579119e-11,164,323,323,166
0.011942679203722668,-67009286166679.18,16029860645642.613,73720950951844.75,7.368617585780586e-12,-2.3600264271654064e-11,3.138865121510543e-11,3.138865121510543e-11,283,581,581,289
0.016234195416098104,-68710200950772.58,9162762934397.555,56277378637706.26,-1.3235746666846905e-11,-1.8784098566527457e-11,2.3133204072589648e-11,2.3133204072589648e-11,501,1024,1024,518
0.02206783723420365,23579024132225.37,-49194727313050.625,40313954703557.88,-1.8772846991464463e-12,-2.2979794611002338e-11,1.704016945551716e-11,1.704016945551716e-11,914,1747,1747,1014
0.029997756446395733,21443823286462.438,8944315540933.127,29903290817559.97,9.599733582466147e-12,-1.1923693680812992e-11,1.2795457931563898e-11,1.2795457931563898e-11,1515,2765,2765,1830
0.04077723531613449,-24375041664886.906,13996748179171.744,21694428378056.953,4.486308349818611e-12,-7.380616695101233e-12,9.7439223649906e-12,9.7439223649906e-12,2524,4071,4071,3518
0.05543024269160607,11726433554538.771,-27564117776943.17,15856779300819.535,3.176338376424028e-12,-7.79737333896669e-12,7.487285381961619e-12,7.487285381961619e-12,3846,5552,5552,6590
0.07534870329069698,6754284883401.576,-14131049063413.672,11779705427787.223,5.374955220319732e-12,-2.19351868951418e-12,5.795969859531465e-12,5.795969859531465e-12,5304,6851,6851,11800
0.1024247200066695,-8841485917982.443,6260970889145.911,8653380250225.167,-2.498969732615299e-13,3.666977785560921e-12,4.397929910794031e-12,4.397929910794031e-12,6717,7849,7849,22056
0.13923030935211736,4626058795315.41,11643263810745.72,6336828026959.158,9.645107253264382e-13,3.794910450908226e-12,3.2705683100776728e-12,3.2705683100776728e-12,7871,8481,8481,40974
0.18926172354705012,2952422329923.924,4068691521276.6123,4675951999125.782,2.865833614742902e-13,9.074156878137231e-13,2.408004291285931e-12,2.408004291285931e-12,8568,8820,8820,75141
0.25727156799896383,-1575671561459.858,-2202212700724.279,3439922889851.9043,-1.0780589259804852e-12,-7.07121644953986e-13,1.7592548731406607e-12,1.7592548731406607e-12,8975,9055,9055,138889
0.34972026282002594,-2435048960083.734,-990328585363.519,2523101890708.7227,-1.3262855395755699e-12,1.6834543361238297e-13,1.286582506600506e-12,1.286582506600506e-12,9220,9251,9251,258200
0.4753897338061105,-1848731899487.2424,3462581026390.1074,1860856265579.5593,-6.992820812730355e-13,8.385019499919802e-13,9.449836940145104e-13,9.449836940145104e-13,9395,9401,9401,474876
0.6462176288725567,-685105468146.3899,-910937078883.8202,1371191735275.251,-2.4318433570386793e-13,-2.541980472461423e-13,6.944861531117195e-13,6.944861531117195e-13,9513,9515,9515,874958
0.8784313041896438,239414008474.24265,194499701596.60638,1007940236426.116,2.6992102072151387e-14,-9.44959068017688e-14,5.102079354514541e-13,5.102079354514541e-13,9585,9585,9585,1618901
1.1940893001117703,-144626492513.6231,-927210100703.8998,742657475977.748,-1.0663143569073699e-13,-2.25636462596519e-13,3.7578329319712945e-13,3.7578329319712945e-13,9614,9614,9614,2981646
1.6231767354383722,-319972981044.6926,783009766074.5964,548038576814.25525,-1.1797947633302306e-13,-6.341779294294504e-15,2.771557803513092e-13,2.771557803513092e-13,9647,9647,9647,5471346
2.206453666590727,-263166170520.2195,-713271398205.3258,404459727785.04193,-2.5115542880259137e-14,-3.2648164380722155e-13,2.0450379581123635e-13,2.0450379581123635e-13,9681,9681,9681,10038449
2.9993269842527894,358358911784.7353,-312789101846.8192,299094378995.74677,8.766290884435816e-14,-1.7619974498834756e-13,1.50965550711095e-13,1.50965550711095e-13,9735,9735,9735,18351194
4.077113648330958,-1784749450.0365293,-139622644630.79443,221777792545.56982,-2.3367350938552105e-14,-1.1247578018304589e-13,1.112252026762587e-13,1.112252026762587e-13,9787,9787,9787,33333370
5.542195228689867,102019958312.01817,-188226387883.06525,164799571106.69415,-4.582976041183426e-14,-9.586039038057737e-14,8.109528636891475e-14,8.109528636891475e-14,9843,9843,9843,60229495
7.533743378845192,-33480446302.087402,-155972080941.9777,122944757228.73889,-1.1999561801131975e-13,-5.170441382602829e-14,5.70075094427081e-14,5.70075094427081e-14,9887,9887,9887,107974170
10.240940088952936,-280760457585.2853,-57200111338.50642,92091802058.45628,-1.5591318061001233e-13,0.0,3.119734590332211e-14,3.119734590332211e-14,9939,9887,9887,191931767
