radius_mpc_h70,signal_esd,signal_esd_std,pilot_random_esd,pilot_random_esd_std,pilot_corrected_esd,pilot_corrected_esd_std_independent_diagonal,signal_cross_esd,signal_cross_esd_std,pilot_random_cross_esd,pilot_random_cross_esd_std,pilot_corrected_cross_esd,pilot_corrected_cross_esd_std_independent_diagonal,signal_gobs,signal_gobs_std,pilot_random_gobs,pilot_random_gobs_std,pilot_corrected_gobs,pilot_corrected_gobs_std_independent_diagonal,signal_cross_gobs,signal_cross_gobs_std,pilot_random_cross_gobs,pilot_random_cross_gobs_std,pilot_corrected_cross_gobs,pilot_corrected_cross_gobs_std_independent_diagonal
0.003497725764321151,nan,nan,-4459170513763.392,262703255735418.56,nan,nan,nan,nan,-71481118748436.23,262703255735418.56,nan,nan,nan,nan,9.653315903903174e-11,1.686924010443045e-10,nan,nan,nan,nan,1.26152647325619e-10,1.686924010443045e-10,nan,nan
0.004754608459399198,-601944774924584.0,1133403877147980.2,22253474379091.83,161119397760013.2,-624198249303675.9,1144798588865580.0,1238202929774419.8,1133403877147980.2,-8638130384844.6,161119397760013.2,1246841060159264.2,1144798588865580.0,-3.2146611134692613e-10,7.098722314998332e-10,7.557154712590149e-11,8.514416766375053e-11,-3.9703765847282764e-10,7.149602187126957e-10,5.611864350145099e-10,7.098722314998332e-10,2.953263578413501e-11,8.514416766375053e-11,5.316537992303749e-10,7.149602187126957e-10
0.0064631429464219,-116965554011280.73,487075574232314.7,-164113095717033.9,140936061263371.25,47147541705753.17,507055804007972.9,-227497602829407.8,487075574232314.7,-26592881358952.39,140936061263371.25,-200904721470455.44,507055804007972.9,-2.2657742729194247e-10,2.934462683478803e-10,1.5323555070373772e-11,6.153923382277156e-11,-2.4190098236231625e-10,2.998296011183518e-10,-6.835169489072709e-11,2.934462683478803e-10,-2.5971652402714137e-11,6.153923382277156e-11,-4.238004248801296e-11,2.998296011183518e-10
0.008785627061110645,107926665926085.16,111079471413183.69,215992493520017.28,96995345904464.19,-108065827593932.12,147467779859055.84,-14124133103646.373,111079471413183.69,-1723022228082.1255,96995345904464.19,-12401110875564.248,147467779859055.84,6.949587452141475e-11,6.88552957850754e-11,7.358144609898709e-11,4.294456807579119e-11,-4.08557157757234e-12,8.114978548872749e-11,6.383387753930286e-12,6.88552957850754e-11,-4.271233739686753e-11,4.294456807579119e-11,4.9095725150797815e-11,8.114978548872749e-11
0.011942679203722668,9289208614109.623,42743288523513.52,-67009286166679.18,73720950951844.75,76298494780788.8,85216003913869.5,-48844612825560.11,42743288523513.52,16029860645642.613,73720950951844.75,-64874473471202.72,85216003913869.5,1.6182857516375146e-11,2.4578479593310734e-11,7.368617585780586e-12,3.138865121510543e-11,8.81423993059456e-12,3.986664124581267e-11,-2.6673842980406727e-11,2.4578479593310734e-11,-2.3600264271654064e-11,3.138865121510543e-11,-3.073578708752663e-12,3.986664124581267e-11
0.016234195416098104,29947762522912.12,20534311797710.55,-68710200950772.58,56277378637706.26,98657963473684.7,59906604872395.76,22554970309990.297,20534311797710.55,9162762934397.555,56277378637706.26,13392207375592.742,59906604872395.76,1.594967325125034e-11,1.1083182947778213e-11,-1.3235746666846905e-11,2.3133204072589648e-11,2.9185419918097245e-11,2.5651161278156588e-11,1.1458713477122325e-11,1.1083182947778213e-11,-1.8784098566527457e-11,2.3133204072589648e-11,3.024281204364978e-11,2.5651161278156588e-11
0.02206783723420365,5635372470313.45,13088023220514.002,23579024132225.37,40313954703557.88,-17943651661911.92,42385272155092.16,-18471875502886.312,13088023220514.002,-49194727313050.625,40313954703557.88,30722851810164.312,42385272155092.16,1.4742047287471954e-11,6.444414206437383e-12,-1.8772846991464463e-12,1.704016945551716e-11,1.66193319866184e-11,1.8218063825139928e-11,-2.0675730833591363e-13,6.444414206437383e-12,-2.2979794611002338e-11,1.704016945551716e-11,2.2773037302666425e-11,1.8218063825139928e-11
0.029997756446395733,19609342116520.227,9465192186744.895,21443823286462.438,29903290817559.97,-1834481169942.211,31365533071376.02,4389583694646.139,9465192186744.895,8944315540933.127,29903290817559.97,-4554731846286.988,31365533071376.02,7.750142685232022e-12,4.334552417024363e-12,9.599733582466147e-12,1.2795457931563898e-11,-1.8495908972341246e-12,1.350970348802494e-11,2.940683378358773e-12,4.334552417024363e-12,-1.1923693680812992e-11,1.2795457931563898e-11,1.4864377059171765e-11,1.350970348802494e-11
0.04077723531613449,7236001029446.032,6945213792432.315,-24375041664886.906,21694428378056.953,31611042694332.938,22779030209234.87,4861235522730.606,6945213792432.315,13996748179171.744,21694428378056.953,-9135512656441.137,22779030209234.87,3.730238624895075e-12,3.1333453589409855e-12,4.486308349818611e-12,9.7439223649906e-12,-7.560697249235362e-13,1.0235324918797693e-11,1.029977669299213e-12,3.1333453589409855e-12,-7.380616695101233e-12,9.7439223649906e-12,8.410594364400446e-12,1.0235324918797693e-11
0.05543024269160607,-3707106584171.544,5087422424832.859,11726433554538.771,15856779300819.535,-15433540138710.316,16652907155316.49,2897527500672.158,5087422424832.859,-27564117776943.17,15856779300819.535,30461645277615.33,16652907155316.49,8.689987858923787e-13,2.346425562332032e-12,3.176338376424028e-12,7.487285381961619e-12,-2.307339590531649e-12,7.846346621868125e-12,6.86787868318576e-13,2.346425562332032e-12,-7.79737333896669e-12,7.487285381961619e-12,8.484161207285265e-12,7.846346621868125e-12
0.07534870329069698,744888358102.0715,3754577266789.4756,6754284883401.576,11779705427787.223,-6009396525299.505,12363588088323.395,4411079461760.295,3754577266789.4756,-14131049063413.672,11779705427787.223,18542128525173.97,12363588088323.395,1.9337907083682825e-12,1.8017310946674932e-12,5.374955220319732e-12,5.795969859531465e-12,-3.4411645119514496e-12,6.069555300851036e-12,1.2945319507570993e-12,1.8017310946674932e-12,-2.19351868951418e-12,5.795969859531465e-12,3.4880506402712794e-12,6.069555300851036e-12
