log10_gbar_m_s2,log10_gobs_m_s2,sigma_stat_log10_gobs,sigma_deprojection_systematic_log10_gobs,eta_log10_gobs_over_gbar,effective_acceleration_enhancement,effective_excess_acceleration_m_s2,sigma_measurement_log10_gobs,sigma_with_fixed_stellar_mass_systematic_dex,log10_gmond_m_s2_a0_1p2e10,residual_to_mond_log10,residual_to_mond_diagonal_z,newtonian_closure_diagonal_z
-11.41,-10.65,0.06,0.03,0.7599999999999998,5.754399373371567,1.8496759935740572e-11,0.0670820393249937,0.12041594578792296,-10.626897061997605,-0.02310293800239549,-0.3443982656887967,11.329411085998931
-11.65,-10.78,0.06,0.03,0.870000000000001,7.4131024130091925,1.4357147935807293e-11,0.0670820393249937,0.12041594578792296,-10.75608742532596,-0.023912574674039178,-0.3564676165879432,12.969194269498795
-11.9,-10.88,0.06,0.0,1.0199999999999996,10.471285480508985,1.1923641973769881e-11,0.06,0.11661903789690602,-10.888357721672964,0.008357721672963336,0.13929536121605562,16.999999999999993
-12.15,-11.0,0.06,0.0,1.1500000000000004,14.125375446227554,9.292054215615862e-12,0.06,0.11661903789690602,-11.01883737017856,0.018837370178559354,0.31395616964265594,19.166666666666675
-12.39,-11.11,0.05,0.02,1.2800000000000011,19.054607179632523,7.355090888482815e-12,0.05385164807134505,0.11357816691600549,-11.142818675468904,0.0328186754689046,0.6094275039721155,23.769003286662656
-12.64,-11.21,0.05,0.0,1.4299999999999997,26.91534803926914,5.936863253338033e-12,0.05,0.1118033988749895,-11.270956161904394,0.060956161904393014,1.2191232380878603,28.599999999999994
-12.89,-11.29,0.05,0.01,1.6000000000000014,39.810717055349855,4.999788884744346e-12,0.050990195135927854,0.11224972160321826,-11.398313986859357,0.10831398685935767,2.1242120484265277,31.37858162210947
-13.13,-11.47,0.05,0.02,1.6600000000000001,45.708818961487516,3.314310537261929e-12,0.05385164807134505,0.11357816691600549,-11.52002341552088,0.05002341552087941,0.9289115061920885,30.825426137390608
-13.38,-11.59,0.05,0.01,1.790000000000001,61.65950018614835,2.528708844421831e-12,0.050990195135927854,0.11224972160321826,-11.646368379094174,0.056368379094173804,1.1054748651953377,35.104788189734954
-13.63,-11.76,0.06,0.03,1.870000000000001,74.13102413009192,1.7143585405961772e-12,0.0670820393249937,0.12041594578792296,-11.77237787706764,0.012377877067640597,0.18451849693586758,27.87631411949739
-13.87,-11.93,0.07,0.05,1.9399999999999995,87.09635899560796,1.161407926113614e-12,0.08602325267042628,0.13190905958272922,-11.893109101734186,-0.03689089826581338,-0.4288479814539262,22.552041916300933
-14.12,-12.08,0.07,0.07,2.039999999999999,109.64781961431828,8.24177995352379e-13,0.09899494936611666,0.1407124727947029,-12.018684032374694,-0.061315967625306556,-0.6193848071838438,20.60711190886509
-14.37,-12.27,0.08,0.13,2.0999999999999996,125.89254117941663,5.327660011822373e-13,0.15264337522473748,0.18248287590894657,-12.144115336507085,-0.12588466349291494,-0.8246978508407222,13.757557423688784
-14.61,-12.44,0.08,0.25,2.17,147.91083881682073,3.6062334585441674e-13,0.26248809496813374,0.28089143810376277,-12.264427629088674,-0.1755723709113255,-0.6688774625479305,8.267041597690133
-14.86,-12.85,0.12,0.67,2.01,102.32929922807536,1.3987337019767267e-13,0.6806614430096655,0.6879680225126746,-12.389673100495397,-0.4603268995046026,-0.6762934851564171,2.953009929741911
