lens_redshift,sigma_crit_tomo1_msun_mpc2,sigma_crit_tomo2_msun_mpc2,sigma_crit_tomo3_msun_mpc2,sigma_crit_tomo4_msun_mpc2,sigma_crit_tomo5_msun_mpc2,inverse_sigma_crit_tomo1_mpc2_msun,inverse_sigma_crit_tomo2_mpc2_msun,inverse_sigma_crit_tomo3_mpc2_msun,inverse_sigma_crit_tomo4_mpc2_msun,inverse_sigma_crit_tomo5_mpc2_msun
0.10000000,8.677950074241e+15,6.713434981501e+15,5.999616815291e+15,5.482953735775e+15,5.327844889022e+15,1.152345878283e-16,1.489550435441e-16,1.666773113662e-16,1.823834466221e-16,1.876931518897e-16
0.10500000,8.547562593519e+15,6.561057284198e+15,5.823028270170e+15,5.297218130371e+15,5.139553233618e+15,1.169924161489e-16,1.524144595427e-16,1.717319500444e-16,1.887783314541e-16,1.945694410672e-16
0.11000000,8.442944254642e+15,6.429118101556e+15,5.665388408519e+15,5.129875091548e+15,4.969519880915e+15,1.184420943500e-16,1.555423285439e-16,1.765104045640e-16,1.949365203156e-16,2.012266826500e-16
0.11500000,8.361792656171e+15,6.315130030515e+15,5.524234966442e+15,4.978532199086e+15,4.815364349452e+15,1.195915805520e-16,1.583498669335e-16,1.810205405952e-16,2.008624148667e-16,2.076686056194e-16
0.12000000,8.301038497874e+15,6.216974669515e+15,5.397483008996e+15,4.841195183482e+15,4.675102575712e+15,1.204668548708e-16,1.608499395861e-16,1.852715420008e-16,2.065605624437e-16,2.138990500861e-16
0.12500000,8.257093671110e+15,6.132856797987e+15,5.283366488373e+15,4.716190220723e+15,4.547068578478e+15,1.211079878503e-16,1.630561470681e-16,1.892732601838e-16,2.120355526810e-16,2.199219085309e-16
0.13000000,8.226344144217e+15,6.061284385954e+15,5.180401175306e+15,4.602104422095e+15,4.429854184208e+15,1.215606814484e-16,1.649815346591e-16,1.930352430554e-16,2.172918969850e-16,2.257410646980e-16
0.13500000,8.205688032452e+15,6.001055000239e+15,5.087355974741e+15,4.497739412873e+15,4.322262065337e+15,1.218666851634e-16,1.666373662565e-16,1.965657612648e-16,2.223339122622e-16,2.313603351402e-16
0.14000000,8.192895079195e+15,5.951231348527e+15,5.003222223471e+15,4.402074138227e+15,4.223268517762e+15,1.220569762378e-16,1.680324526869e-16,1.998711940695e-16,2.271656425129e-16,2.367834287103e-16
0.14500000,8.186620848453e+15,5.911096003643e+15,4.927175528385e+15,4.314234237574e+15,4.131993437953e+15,1.221505207718e-16,1.691733646998e-16,2.029560331754e-16,2.317908451263e-16,2.420139371023e-16
0.15000000,8.186041625388e+15,5.880086025927e+15,4.858530712775e+15,4.233466391390e+15,4.047675811067e+15,1.221591638257e-16,1.700655391079e-16,2.058235419549e-16,2.362130480199e-16,2.470553588471e-16
0.15500000,8.190236596658e+15,5.857718801214e+15,4.796695597999e+15,4.159116856487e+15,3.969653653197e+15,1.220965949150e-16,1.707149205921e-16,2.084768523600e-16,2.404356584596e-16,2.519111457481e-16
0.16000000,8.197564691527e+15,5.843527041121e+15,4.741131918710e+15,4.090613884782e+15,3.897347744901e+15,1.219874484228e-16,1.711295238240e-16,2.109200961175e-16,2.444620851946e-16,2.565847508241e-16
0.16500000,8.205313834010e+15,5.837020776984e+15,4.691330781285e+15,4.027453854290e+15,3.830248664325e+15,1.218722428209e-16,1.713202741959e-16,2.131591325833e-16,2.482958306114e-16,2.610796550401e-16
0.17000000,8.209825111394e+15,5.837686818715e+15,4.646806092021e+15,3.969190802496e+15,3.767906630776e+15,1.218052743428e-16,1.713007276776e-16,2.152015772117e-16,2.519405213202e-16,2.653993577845e-16
0.17500000,8.207129338885e+15,5.845023659446e+15,4.607103789367e+15,3.915428781650e+15,3.709923588387e+15,1.218452833760e-16,1.710857061090e-16,2.170561041642e-16,2.553998695332e-16,2.695473306055e-16
0.18000000,8.193922467882e+15,5.858596428554e+15,4.571819603310e+15,3.865816215045e+15,3.655946888446e+15,1.220416722174e-16,1.706893472174e-16,2.187312901139e-16,2.586775843373e-16,2.735269495189e-16
0.18500000,8.168527862110e+15,5.878087387507e+15,4.540615402706e+15,3.820041352404e+15,3.605663942026e+15,1.224210796462e-16,1.701233639577e-16,2.202344641222e-16,2.617772709111e-16,2.773414317248e-16
0.19000000,8.131446609366e+15,5.903316896482e+15,4.513225103852e+15,3.777828056824e+15,3.558797343426e+15,1.229793477151e-16,1.693962932256e-16,2.215710444282e-16,2.647023593871e-16,2.809938031024e-16
0.19500000,8.085238826607e+15,5.934219198659e+15,4.489445408526e+15,3.738931471958e+15,3.515100188790e+15,1.236821844655e-16,1.685141661478e-16,2.227446619800e-16,2.674560920680e-16,2.844869125464e-16
0.20000000,8.033757425059e+15,5.970774239225e+15,4.469112799319e+15,3.703133512263e+15,3.474351569874e+15,1.244747565916e-16,1.674824670862e-16,2.237580577855e-16,2.700415733563e-16,2.878234916325e-16
0.20500000,7.981023564969e+15,6.012915087700e+15,4.452073938841e+15,3.670238458229e+15,3.436352429703e+15,1.252972117999e-16,1.663086847918e-16,2.246144187489e-16,2.724618608249e-16,2.910062400341e-16
0.21000000,7.930152269060e+15,6.060443191599e+15,4.438159702342e+15,3.640069111630e+15,3.400922058653e+15,1.261009834454e-16,1.650044342279e-16,2.253186156127e-16,2.747200586947e-16,2.940379058249e-16
0.21500000,7.882674581850e+15,6.112985100528e+15,4.427172298331e+15,3.612463924624e+15,3.367895460900e+15,1.268604950790e-16,1.635861994680e-16,2.258778137858e-16,2.768193733877e-16,2.969213301332e-16
0.22000000,7.838426055204e+15,6.170012620456e+15,4.418890507295e+15,3.587275290567e+15,3.337121657038e+15,1.275766324715e-16,1.620742227795e-16,2.263011492023e-16,2.787631054215e-16,2.996594379144e-16
0.22500000,7.795970720416e+15,6.230926283480e+15,4.413091546844e+15,3.564368868612e+15,3.308462775658e+15,1.282713899093e-16,1.604897818566e-16,2.265985170226e-16,2.805545769424e-16,3.022551764395e-16
0.23000000,7.753365252934e+15,6.295176463942e+15,4.409581806622e+15,3.543623531567e+15,3.281793607388e+15,1.289762531981e-16,1.588517821109e-16,2.267788746993e-16,2.821970198278e-16,3.047114229697e-16
0.23500000,7.708972576725e+15,6.362377049441e+15,4.408225039749e+15,3.524931383850e+15,3.257001218335e+15,1.297189722816e-16,1.571739606485e-16,2.268486728747e-16,2.836934655187e-16,3.070308952820e-16
0.24000000,7.662032956258e+15,6.432362461903e+15,4.408957046147e+15,3.508197345524e+15,3.233984275332e+15,1.305136646774e-16,1.554638759744e-16,2.268110098450e-16,2.850466782537e-16,3.092160984293e-16
0.24500000,7.612803854957e+15,6.505154447799e+15,4.411780449069e+15,3.493338019600e+15,3.212651903445e+15,1.313576468083e-16,1.537242517491e-16,2.266658578196e-16,2.862591579714e-16,3.112693282854e-16
0.25000000,7.562256056824e+15,6.580836811308e+15,4.416740268218e+15,3.480279870821e+15,3.192922115828e+15,1.322356704779e-16,1.519563588451e-16,2.264113213077e-16,2.873332137407e-16,3.131927318373e-16
0.25500000,7.511488203076e+15,6.659372953892e+15,4.423888016062e+15,3.468957032365e+15,3.174720049113e+15,1.331294109722e-16,1.501642882782e-16,2.260455048521e-16,2.882710828269e-16,3.149884035537e-16
0.26000000,7.461118272537e+15,6.740428515870e+15,4.433246376885e+15,3.459309221078e+15,3.157976336940e+15,1.340281662175e-16,1.483585201810e-16,2.255683341251e-16,2.890750540330e-16,3.166584842017e-16
0.26500000,7.410896822314e+15,6.823268341919e+15,4.444786591290e+15,3.451280228551e+15,3.142625928908e+15,1.349364353568e-16,1.465573314560e-16,2.249826801493e-16,2.897475527276e-16,3.182052279278e-16
0.27000000,7.359685097766e+15,6.906779020273e+15,4.458426466866e+15,3.444817276163e+15,3.128607526245e+15,1.358753787310e-16,1.447852895054e-16,2.242943799638e-16,2.902911591043e-16,3.196310152716e-16
0.27500000,7.305800110580e+15,6.989628924266e+15,4.474049968988e+15,3.439871246496e+15,3.115863612005e+15,1.368775472726e-16,1.430691115130e-16,2.235111379917e-16,2.907085551585e-16,3.209383094135e-16
0.28000000,7.247596391108e+15,7.070528178274e+15,4.491542032432e+15,3.436397531533e+15,3.104340873490e+15,1.379767782360e-16,1.414321497328e-16,2.226406861562e-16,2.910024206524e-16,3.221295729923e-16
0.28500000,7.184070012477e+15,7.148508614595e+15,4.510827097557e+15,3.434357063427e+15,3.093990710939e+15,1.391968617042e-16,1.398893187256e-16,2.216888340814e-16,2.911753150682e-16,3.232071759183e-16
0.29000000,7.115264687482e+15,7.223127418116e+15,4.531898707006e+15,3.433717071410e+15,3.084769532022e+15,1.405429093537e-16,1.384441865849e-16,2.206580651183e-16,2.912295856657e-16,3.241733262791e-16
0.29500000,7.042339677275e+15,7.294519186413e+15,4.554830711466e+15,3.434451237468e+15,3.076638638914e+15,1.419982627687e-16,1.370892274658e-16,2.195471277303e-16,2.911673309234e-16,3.250300465423e-16
0.30000000,6.967294112267e+15,7.363274829879e+15,4.579767038367e+15,3.436539150092e+15,3.069563680189e+15,1.435277431793e-16,1.358091369810e-16,2.183517178106e-16,2.909904285459e-16,3.257791999736e-16
0.30500000,6.892470472157e+15,7.430190583310e+15,4.606894196314e+15,3.439965195796e+15,3.063513801970e+15,1.450858591328e-16,1.345860498177e-16,2.170659792448e-16,2.907006155824e-16,3.264225541785e-16
0.31000000,6.820024279528e+15,7.495978534144e+15,4.636406088821e+15,3.444717199657e+15,3.058460734695e+15,1.466270439831e-16,1.334048644143e-16,2.156842996154e-16,2.902995926921e-16,3.269618565496e-16
0.31500000,6.751529313132e+15,7.561041950598e+15,4.668472464053e+15,3.450785176819e+15,3.054378061886e+15,1.481145905795e-16,1.322569040793e-16,2.142028270917e-16,2.897891200871e-16,3.273988942228e-16
0.32000000,6.687812071616e+15,7.625391507423e+15,4.703220067074e+15,3.458160481534e+15,3.051240838546e+15,1.495257326748e-16,1.311408075279e-16,2.126202868968e-16,2.891710796361e-16,3.277355190607e-16
0.32500000,6.629018071594e+15,7.688724537703e+15,4.740730395182e+15,3.466835478259e+15,3.049025594238e+15,1.508519043394e-16,1.300605835332e-16,2.109379603228e-16,2.884474923229e-16,3.279736325893e-16
0.33000000,6.574840310743e+15,7.750628979527e+15,4.781051920862e+15,3.476803676802e+15,3.047710621071e+15,1.520949487345e-16,1.290217868307e-16,2.091589919023e-16,2.876204965705e-16,3.281151409476e-16
0.33500000,6.524803989421e+15,7.810828164826e+15,4.824219912139e+15,3.488060137262e+15,3.047276358260e+15,1.532613089407e-16,1.280273972103e-16,2.072873994578e-16,2.866923047907e-16,3.281619001471e-16
0.34000000,6.478504245187e+15,7.869368760970e+15,4.870275110398e+15,3.500601903822e+15,3.047705670913e+15,1.543566172304e-16,1.270749955142e-16,2.053272099281e-16,2.856651591568e-16,3.281156738801e-16
0.34500000,6.435728370552e+15,7.926678043386e+15,4.919273982313e+15,3.514428275381e+15,3.048983879989e+15,1.553825678187e-16,1.261562529128e-16,2.032820297458e-16,2.845413027789e-16,3.279781197149e-16
0.35000000,6.396446119394e+15,7.983469258045e+15,4.971287286503e+15,3.529540835341e+15,3.051098505626e+15,1.563368128699e-16,1.252588276697e-16,2.011551419921e-16,2.833229722085e-16,3.277508078339e-16
