galaxy,quality,radius_nominal_kpc,fractional_velocity_error,shadow_delta_v2_nominal_km2_s2,shadow_sign_probability_positive,shadow_sign_evidence_bits,shadow_fixed_nuisance_closure_cost_sigma,g_observed_p50_m_s2,g_baryonic_p50_m_s2,g_inobservable_p025_m_s2,g_inobservable_p16_m_s2,g_inobservable_p50_m_s2,g_inobservable_p84_m_s2,g_inobservable_p975_m_s2,mass_inobservable_p025_solar,mass_inobservable_p16_solar,mass_inobservable_p50_solar,mass_inobservable_p84_solar,mass_inobservable_p975_solar,inobservable_status,authority
CamB,2,1.47,0.08928571428571429,90.54860000000002,0.92138671875,2.669083121885383,1.96982244061482,6.269512481081191e-12,4.2181356108303734e-12,-8.409940915946742e-13,5.627510352589199e-13,2.0022915183357806e-12,3.5930557574163536e-12,5.436350334678859e-12,-13165678.730559798,9211979.592774931,30524847.426674277,53019236.56633859,77549475.19459917,SIGN_AMBIGUOUS_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
CamB,2,1.79,0.07462686567164178,245.10785000000004,0.9990234375,9.0,4.996240259397122,7.387186512799862e-12,2.871193299662668e-12,1.9127305107610446e-12,3.11126664778292e-12,4.461261722775641e-12,6.052508820405451e-12,7.841351397108674e-12,46714386.13039333,73248542.31590292,100768710.35556912,133287445.02684037,171532471.57433224,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
D512-2,2,1.92,0.0808955223880597,858.5924,0.999755859375,11.0,6.369912635053944,1.980995695060252e-11,4.459997439269711e-12,4.7344717543141265e-12,8.870530384271589e-12,1.5322146202892085e-11,2.7748711275180065e-11,5.735844103594076e-11,137871879.28794917,233975815.47988918,373184252.86282754,589221879.8888193,954986851.0485321,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
D564-8,2,1.02,0.09337748344370861,162.1033,1.0,12.0003521774803,4.951564428514851,7.387187042819539e-12,2.07554797431074e-12,2.4459647264567827e-12,3.698470997291717e-12,5.2711263315626505e-12,7.1075064229361555e-12,9.463152429680792e-12,18515498.494889624,27693717.490549102,39296909.30103862,52968100.40576288,71292916.56538817,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
D564-8,2,1.53,0.09090909090909091,310.53035,1.0,12.0003521774803,5.984294727287493,8.366408529858757e-12,1.7129408817386292e-12,3.603077273908175e-12,4.973046428793678e-12,6.620330136598027e-12,8.807120962360118e-12,1.146692932378289e-11,60771895.28979024,83852613.20963599,111434481.95876253,146677871.46545166,193090563.59844875,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
D564-8,2,2.04,0.08310502283105024,394.26914999999997,1.0,12.0003521774803,6.957136730992992,7.676795658611386e-12,1.3463153853281505e-12,3.652992697311036e-12,4.9246243787137014e-12,6.332810843332601e-12,8.137349053898586e-12,1.0403573371556327e-11,111609146.85862713,147052204.29162312,189247669.97271603,243184634.4155462,310803503.5261128,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
D564-8,2,2.56,0.07875,492.92305,1.0,12.0003521774803,7.875843502293939,7.359161799380347e-12,1.0451482910739712e-12,3.958985025860917e-12,5.0186878955852566e-12,6.310907492545575e-12,8.051520511875348e-12,1.0029661648348104e-11,184985398.64015427,234929760.2947854,296886822.2696388,376789942.6807368,470615278.7591491,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
D564-8,2,3.07,0.08199999999999999,546.17715,1.0,12.0003521774803,7.864281288630403,6.684817202617545e-12,8.272896812304926e-13,3.638050201498923e-12,4.6385057756743386e-12,5.846218572114809e-12,7.363474489922239e-12,9.421633568163184e-12,244435606.42024657,314469226.0130006,395351588.89851534,497365170.0398827,636177113.8543137,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
D631-7,1,1.35,0.09038461538461538,181.6212,0.912841796875,2.5202197359709,1.6022848311452778,1.625777220873017e-11,1.1856833962103507e-11,-1.7489264381973341e-12,1.1887989345771257e-12,4.308803243023019e-12,7.693420883147918e-12,1.1818336341532555e-11,-23017283.454917036,15496566.645801263,56062902.78600371,99750346.5739864,150769264.2273274,SIGN_AMBIGUOUS_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
D631-7,1,1.8,0.07184466019417476,376.03315,0.9921875,6.0,3.082080411975007,1.7258329564676408e-11,1.0411658847469642e-11,1.298567124205808e-12,3.9928840950029944e-12,6.729607581881593e-12,9.773124420865897e-12,1.2813317551908208e-11,30117778.9129851,92595523.2199685,156902801.33893383,225017868.454954,294763517.9851013,POSITIVE_SIGNED_PROFILE_SUPPORTED_95,DERIVED_EFFECTIVE_INOBSERVABLE_CONDITIONAL_NOT_ONTOLOGIZED
